stock,inter,topic
三安光电[22.64/3.57%],露笑科技(9.18/-0.22%)[5];南大光电(38.66/0.94%)[3];士兰微(38.05/1.41%)[3];天通股份(12.12/-0.98%)[2];中微公司(165.8/1.16%)[2],持续[3];科技[2];集成电路[2];SIC[2];一体化[2]
中国联通[5.7/2.52%],中国移动(97.19/4.82%)[3];中国电信(6.97/6.9%)[3],运营商[2]
捷成股份[6.63/-4.6%],剑桥科技(45.5/10.01%)[2];昆仑万维(49.5/-2.27%)[2];新易盛(61.7/6.01%)[2],版权[3];预期[2];最大[2];运营[2];龙头[2]
首都在线[18.76/2.12%],烽火通信(20.28/0.9%)[5];常山北明(9.3/-3.23%)[5];芯海科技(49.68/4.15%)[5];奥飞数据(15.52/-1.34%)[5];昆仑万维(49.5/-2.27%)[4],算力[6];AI[6];正宗[3];逻辑[3];人工智能[3]
晶瑞电材[24.23/-1.9%],天通股份(12.12/-0.98%)[3];中微公司(165.8/1.16%)[3];三安光电(22.64/3.57%)[3];福晶科技(27.23/10.02%)[3],自主[2]
中航电测[52.94/6.52%],易华录(46.5/16.63%)[2],电科[2];一张[2];全面[2];形成[2];华录[2]
全志科技[32.5/14.64%],首都在线(18.76/2.12%)[4];广和通(24.39/0.29%)[3];北京君正(110.24/9.91%)[2];瑞芯微(93.6/3.56%)[2],芯片[5];算力[4];AI[3];人工智能[2];边缘[2]
蓝色光标[9.2/-8.09%],昆仑万维(49.5/-2.27%)[10];中文在线(22.15/-6.54%)[10];汤姆猫(8.55/-0.81%)[9];三六零(20.08/4.58%)[5];世纪华通(6.5/0.78%)[5],AI[4];微软[4];模型[3];关注[3];召开[2]
东方财富[22.7/-0.83%],三六零(20.08/4.58%)[8];同花顺(226.97/-3.42%)[8];深科技(18.82/2.34%)[5];剑桥科技(45.5/10.01%)[5];科大讯飞(65.9/-4.91%)[3],金融[4];半导体[3];GPT[3];配置[2];预估[2]
沪电股份[23.41/4.09%],工业富联(17.41/-1.97%)[4];东山精密(29.22/-1.22%)[2];环旭电子(18.3/1.1%)[2];中际旭创(67.1/-0.21%)[2];长飞光纤(39.32/-2.24%)[2],PCB[3];错过[2];中信[2];电子[2];数通[2]
完美世界[19.14/2.9%],三七互娱(31.66/2.56%)[18];世纪华通(6.5/0.78%)[13];吉比特(535.88/2.27%)[8];金山办公(486.51/-4.96%)[5];四维图新(14.98/2.67%)[5],AI[4];游戏[3];中国[3];腾讯[2];微软[2]
生 意 宝[23.3/-4.74%],三六零(20.08/4.58%)[2];中国科传(19.1/-2.45%)[2],股票[3];数据[3];几个[2];03[2];生意[2]
中芯国际[56.66/3.81%],张江高科(16.81/-0.59%)[3];福晶科技(27.23/10.02%)[3];昆仑万维(49.5/-2.27%)[3];紫光股份(34.43/6.86%)[3];富春股份(9.6/-1.64%)[3],半导体[5];AI[5];逻辑[4];国产[3];替代[3]
