名称,代码,成交额,最新价,涨跌幅,60日涨跌幅,年初至今涨跌幅,dt
赣锋锂业,2460,15.0,67.05,1.21,-8.94,-3.54,2023032914
立讯精密,2475,14.7,30.17,1.34,-6.59,-4.98,2023032914
剑桥科技,603083,14.4,37.66,9.99,230.06,235.05,2023032914
中远海科,2401,13.9,22.9,8.38,110.67,108.18,2023032914
长川科技,300604,13.9,49.5,9.68,8.74,11.04,2023032914
亿纬锂能,300014,13.6,68.28,0.71,-25.36,-22.32,2023032914
拓普集团,601689,13.4,65.65,5.23,6.02,12.07,2023032914
芯原股份,688521,13.3,95.35,1.78,107.01,116.36,2023032914
士兰微,600460,13.2,35.71,2.59,5.06,8.91,2023032914
云从科技-UW,688327,13.2,43.22,6.64,165.32,182.3,2023032914
顺丰控股,2352,12.9,54.55,1.96,-8.99,-5.56,2023032914
闻泰科技,600745,12.9,55.24,2.18,0.69,5.06,2023032914
韦尔股份,603501,12.8,89.99,2.55,11.79,16.73,2023032914
京东方Ａ,725,12.7,4.38,1.15,27.7,29.59,2023032914
拓维信息,2261,56.3,15.81,2.4,139.18,138.46,2023032814
拓尔思,300229,42.0,29.58,0.96,150.68,152.39,2023032814
中国电信,601728,41.2,6.4,0.79,52.02,52.74,2023032814
易华录,300212,41.1,39.5,11.61,83.12,93.53,2023032814
常山北明,158,38.3,9.72,3.96,71.43,72.95,2023032814
中文在线,300364,37.4,20.72,8.14,124.24,108.87,2023032814
电科网安,2268,36.2,38.7,7.38,25.04,26.76,2023032814
中油资本,617,34.7,7.0,10.06,20.69,25.67,2023032814
四川长虹,600839,34.6,4.28,7.0,60.9,62.12,2023032814
东华软件,2065,32.8,8.34,9.88,46.32,47.35,2023032814
晶瑞电材,300655,30.3,23.31,0.69,59.33,58.79,2023032814
中兴通讯,63,29.2,34.75,1.34,38.61,34.38,2023032814
世纪华通,2602,29.1,5.59,6.27,47.49,46.72,2023032814
中国联通,600050,28.2,5.51,2.04,15.27,22.99,2023032814
新易盛,300502,27.4,42.78,-0.97,82.82,80.13,2023032814
京山轻机,821,23.5,23.61,1.16,40.54,43.96,2023032814
张江高科,600895,23.2,18.4,3.2,58.76,62.26,2023032814
省广集团,2400,23.2,6.09,1.84,45.35,42.29,2023032814
英飞拓,2528,20.9,12.88,5.66,39.7,14.8,2023032814
五 粮 液,858,19.9,192.25,0.97,7.64,6.4,2023032814
剑桥科技,603083,19.8,33.88,2.88,194.87,201.42,2023032814
岭南股份,2717,19.7,4.35,9.85,47.46,52.63,2023032814
长电科技,600584,19.7,33.11,1.22,41.31,43.64,2023032814
中国石化,600028,19.4,5.55,3.74,28.77,27.29,2023032814
深桑达Ａ,32,19.2,35.12,3.78,62.89,74.29,2023032814
比亚迪,2594,18.5,245.46,0.74,-6.46,-4.48,2023032814
数字政通,300075,18.4,25.3,3.77,39.86,44.32,2023032814
海光信息,688041,18.4,64.49,1.94,56.53,60.74,2023032814
中国软件,600536,18.0,69.53,0.74,21.6,19.2,2023032814
首都在线,300846,17.2,16.33,1.24,62.16,67.83,2023032814
芯原股份,688521,16.9,92.76,-0.08,100.69,110.48,2023032814
西部矿业,601168,16.4,12.53,0.24,21.77,22.84,2023032814
宣亚国际,300612,15.5,27.95,4.84,59.9,51.65,2023032814
泸州老窖,568,15.2,248.22,2.49,14.12,10.67,2023032814
拓普集团,601689,14.2,62.84,8.91,1.35,7.27,2023032814
云从科技-UW,688327,14.2,40.97,3.51,156.06,167.6,2023032814
分众传媒,2027,13.9,6.78,0.59,5.94,3.67,2023032814
爱尔眼科,300015,13.8,31.28,2.26,4.83,0.68,2023032814
中国化学,601117,13.6,9.8,3.27,22.65,23.43,2023032814
海天瑞声,688787,13.4,222.53,3.51,266.43,272.81,2023032814
国民技术,300077,13.1,18.16,4.19,30.65,30.18,2023032814
太极股份,2368,12.5,40.64,0.35,43.86,44.47,2023032814
爱美客,300896,12.3,549.99,5.28,2.04,-2.89,2023032814
特变电工,600089,12.2,21.77,0.65,14.34,8.42,2023032814
卫宁健康,300253,12.0,12.35,3.87,23.62,20.14,2023032814
宇通客车,600066,11.9,11.73,10.04,51.16,56.19,2023032814
三六零,601360,109.8,17.77,5.9,170.06,171.71,2023032714
东方财富,300059,73.2,20.54,1.48,7.93,5.88,2023032714
科大讯飞,2230,71.6,60.26,0.4,80.64,83.55,2023032714
工业富联,601138,61.8,17.41,-1.42,89.65,89.65,2023032714
